StudNo,Description,Action,DateFiled,DateResolved
2000-36813,Exciting features of the service,noted,24 04 2005,1 12 2007
2021-95371,Overview of the event,resolved,6 07 2008,19 06 2012
2006-65758,Benefits of using the software,resolved,28 04 2012,2 01 2022
2008-77319,Description of the project goals,approved,6 01 2018,15 06 2003
2006-59758,Description of the project goals,resolved,13 08 2020,16 08 2015
2014-30001,Overview of the event,noted,31 08 2006,6 03 2014
2004-59112,Description of the project goals,resolved,26 07 2014,28 05 2007
2004-29909,Detailed description of the product,approved,12 06 2024,28 08 2005
2013-36540,Detailed description of the product,filed,18 02 2003,7 12 2014
2003-57588,Description of the project goals,filed,12 01 2008,4 11 2018
2000-40400,Benefits of using the software,noted,13 07 2011,16 08 2009
2016-13272,Detailed description of the product,approved,1 10 2002,11 11 2012
2015-59000,Detailed description of the product,noted,8 07 2003,15 04 2018
2009-96120,Description of the project goals,filed,1 07 2023,29 06 2019
2002-16203,Overview of the event,filed,14 02 2003,31 05 2020
2012-99991,Detailed description of the product,disapproved,11 05 2013,24 08 2000
2014-69355,Overview of the event,noted,7 06 2007,22 10 2005
2022-95696,Benefits of using the software,disapproved,30 01 2000,3 08 2024
2005-33480,Overview of the event,disapproved,14 06 2007,2 11 2005
2006-17638,Description of the project goals,approved,14 11 2005,7 08 2004
2007-28408,Detailed description of the product,noted,3 06 2023,25 12 2014
2011-82892,Description of the project goals,filed,24 01 2016,11 06 2018
2002-72706,Detailed description of the product,approved,6 07 2004,23 11 2006
2015-11737,Description of the project goals,approved,1 04 2005,4 05 2010
2017-60018,Description of the project goals,resolved,14 05 2011,19 12 2017
2018-35169,Overview of the event,noted,4 03 2018,23 01 2010
2018-18688,Description of the project goals,resolved,16 10 2016,20 08 2015
2016-36576,Detailed description of the product,approved,9 09 2013,16 10 2018
2016-97602,Overview of the event,filed,16 06 2019,23 04 2002
2000-18319,Exciting features of the service,disapproved,22 01 2021,23 08 2022
2022-94080,Overview of the event,filed,1 10 2022,22 11 2007
2021-86238,Description of the project goals,resolved,2 11 2012,16 09 2003
2005-64961,Benefits of using the software,disapproved,23 12 2016,7 04 2017
2008-19539,Detailed description of the product,noted,29 05 2017,1 11 2007
2019-18106,Overview of the event,resolved,31 03 2012,10 06 2021
2000-81796,Overview of the event,approved,7 08 2000,9 12 2010
2001-79158,Description of the project goals,noted,5 05 2005,17 04 2017
2005-13131,Benefits of using the software,noted,3 08 2009,1 03 2001
2016-67560,Detailed description of the product,noted,3 08 2010,16 08 2022
2019-49707,Overview of the event,noted,23 11 2005,17 10 2019
2008-31916,Description of the project goals,noted,7 10 2014,19 09 2010
2001-14775,Exciting features of the service,resolved,24 05 2011,17 11 2009
2014-56238,Detailed description of the product,resolved,21 12 2019,1 12 2022
2022-21255,Overview of the event,disapproved,27 09 2008,24 05 2016
2001-34429,Overview of the event,resolved,20 04 2005,14 09 2019
2004-30242,Benefits of using the software,approved,13 08 2007,22 08 2024
2011-82303,Exciting features of the service,disapproved,11 06 2023,4 12 2002
2010-45996,Overview of the event,filed,30 01 2012,11 05 2004
2018-97639,Overview of the event,resolved,18 12 2022,10 05 2001
2016-83855,Description of the project goals,approved,30 11 2014,30 12 2008
2014-43430,Description of the project goals,approved,19 11 2013,17 11 2023
2011-60874,Exciting features of the service,noted,1 11 2002,3 11 2008
2020-96310,Detailed description of the product,resolved,15 05 2012,24 03 2020
2015-34901,Exciting features of the service,resolved,5 02 2021,10 11 2019
2002-48703,Description of the project goals,disapproved,30 04 2016,3 08 2011
2001-15705,Detailed description of the product,approved,10 06 2006,10 02 2024
2011-73200,Exciting features of the service,resolved,30 10 2007,8 09 2003
2005-26752,Description of the project goals,approved,13 03 2019,5 11 2019
2013-82301,Benefits of using the software,resolved,18 09 2003,5 10 2001
2016-29290,Exciting features of the service,disapproved,30 06 2011,3 02 2007
2013-14881,Benefits of using the software,noted,20 10 2000,4 10 2018
2002-69850,Description of the project goals,approved,11 10 2019,27 05 2015
2023-40614,Overview of the event,noted,22 10 2018,30 01 2004
2009-77600,Overview of the event,resolved,20 07 2009,1 02 2002
2015-37302,Overview of the event,noted,26 04 2003,8 09 2017
2016-41601,Overview of the event,disapproved,27 02 2013,26 03 2020
2014-49179,Overview of the event,noted,1 12 2007,20 01 2003
2009-24492,Overview of the event,disapproved,18 10 2007,1 08 2002
2001-96839,Overview of the event,approved,21 03 2005,16 12 2003
2007-93406,Overview of the event,filed,3 07 2015,25 01 2006
2021-49045,Detailed description of the product,disapproved,22 11 2016,30 08 2005
2007-76461,Benefits of using the software,filed,27 11 2017,1 02 2022
2002-64968,Description of the project goals,noted,28 05 2009,13 03 2009
2013-14874,Exciting features of the service,approved,5 02 2019,28 04 2019
2002-68958,Benefits of using the software,disapproved,13 06 2016,16 10 2007
2013-92028,Benefits of using the software,approved,20 05 2003,30 08 2019
2024-70630,Overview of the event,resolved,16 12 2012,12 04 2012
2000-33363,Detailed description of the product,disapproved,12 08 2001,2 11 2004
2007-27533,Description of the project goals,noted,5 01 2004,4 03 2003
2022-91306,Exciting features of the service,disapproved,5 03 2014,30 04 2024
2004-21430,Description of the project goals,filed,27 08 2011,2 12 2006
2017-24092,Overview of the event,resolved,8 10 2022,6 08 2000
2012-18730,Description of the project goals,filed,29 10 2001,13 04 2006
2005-57980,Overview of the event,resolved,17 01 2008,20 12 2022
2006-17009,Benefits of using the software,approved,15 01 2000,23 11 2003
2016-82778,Benefits of using the software,resolved,27 04 2006,5 05 2012
2007-68785,Benefits of using the software,resolved,20 02 2001,23 11 2016
2003-99834,Description of the project goals,approved,29 09 2009,22 07 2018
2018-35397,Exciting features of the service,filed,26 02 2019,19 02 2016
2017-90666,Description of the project goals,resolved,24 04 2003,22 08 2017
2002-53144,Description of the project goals,approved,16 10 2015,20 03 2001
2018-53579,Overview of the event,disapproved,10 04 2000,15 08 2016
2007-69300,Description of the project goals,approved,1 12 2001,28 08 2006
2016-21262,Benefits of using the software,disapproved,29 07 2007,16 05 2005
2011-12967,Overview of the event,filed,9 03 2004,17 01 2011
2014-25302,Description of the project goals,disapproved,15 09 2015,20 01 2022
2019-32100,Description of the project goals,disapproved,3 06 2018,9 06 2010
2024-11697,Overview of the event,approved,4 06 2008,4 12 2022
2014-88634,Exciting features of the service,resolved,1 10 2014,19 04 2023
2013-22500,Detailed description of the product,resolved,18 04 2014,18 07 2007
2020-66637,Description of the project goals,disapproved,30 12 2018,21 01 2003
2020-32509,Detailed description of the product,approved,18 05 2024,26 12 2011
2018-30706,Detailed description of the product,approved,6 12 2005,16 11 2003
2012-11001,Exciting features of the service,approved,1 12 2022,18 08 2019
2019-37922,Exciting features of the service,filed,20 07 2017,28 04 2003
2004-48366,Exciting features of the service,resolved,28 02 2022,7 07 2015
2023-37686,Detailed description of the product,resolved,21 09 2020,18 10 2010
2018-20546,Exciting features of the service,disapproved,29 08 2009,21 02 2000
2022-36984,Overview of the event,resolved,3 10 2020,14 04 2018
2008-55824,Benefits of using the software,filed,20 09 2023,6 08 2004
2018-25635,Detailed description of the product,approved,20 02 2018,18 04 2009
2004-95886,Description of the project goals,filed,13 05 2014,25 03 2023
2024-25817,Description of the project goals,approved,22 07 2009,29 11 2000
2022-55806,Overview of the event,filed,8 01 2001,3 12 2000
2019-39171,Description of the project goals,approved,17 02 2011,28 04 2023
2012-53594,Overview of the event,noted,22 12 2009,28 05 2004
2019-66586,Detailed description of the product,disapproved,22 06 2019,14 06 2021
2019-28183,Exciting features of the service,approved,4 02 2005,2 06 2021
2012-49423,Exciting features of the service,disapproved,7 11 2023,15 03 2008
2014-43621,Description of the project goals,noted,9 05 2007,20 05 2006
2008-96207,Benefits of using the software,noted,23 05 2001,12 05 2003
2008-12253,Exciting features of the service,noted,1 01 2007,25 11 2012
2013-99893,Exciting features of the service,filed,18 02 2019,3 11 2007
2022-13101,Overview of the event,noted,26 04 2015,17 03 2005
2000-50146,Description of the project goals,noted,14 11 2009,8 10 2018
2007-39469,Exciting features of the service,disapproved,24 04 2007,17 10 2005
2016-28960,Detailed description of the product,approved,23 10 2008,6 10 2022
2014-31899,Description of the project goals,resolved,1 06 2014,22 03 2006
2008-29814,Overview of the event,noted,9 02 2020,29 06 2012
2014-60977,Description of the project goals,approved,30 09 2020,18 05 2014
2012-56617,Exciting features of the service,resolved,29 07 2020,17 12 2005
2009-92708,Overview of the event,filed,25 01 2000,9 07 2020
2015-30908,Detailed description of the product,noted,23 11 2004,22 05 2016
2000-86900,Description of the project goals,noted,21 02 2015,21 01 2012
2024-59776,Detailed description of the product,approved,16 06 2000,4 07 2014
2004-57532,Exciting features of the service,resolved,29 10 2015,6 07 2021
2012-13344,Overview of the event,disapproved,2 03 2012,14 08 2018
2017-96080,Overview of the event,resolved,12 03 2003,17 10 2017
2023-47585,Exciting features of the service,resolved,31 07 2005,1 05 2003
2023-92655,Benefits of using the software,disapproved,26 03 2003,19 01 2002
2022-23528,Detailed description of the product,filed,5 11 2019,17 06 2015
2014-71679,Detailed description of the product,noted,14 09 2017,6 12 2001
2017-42906,Overview of the event,resolved,12 12 2022,31 07 2020
2023-81426,Exciting features of the service,disapproved,20 04 2001,10 09 2007
2017-66142,Exciting features of the service,resolved,5 01 2021,1 01 2019
2014-73000,Detailed description of the product,disapproved,12 09 2024,25 07 2009
2018-75447,Exciting features of the service,disapproved,30 11 2021,2 11 2019
2017-62812,Overview of the event,resolved,13 01 2012,3 01 2019
2012-92788,Description of the project goals,resolved,26 11 2006,21 01 2004
2012-50778,Exciting features of the service,approved,26 08 2016,23 06 2013
2008-95428,Description of the project goals,resolved,10 03 2013,8 07 2012
2011-95903,Description of the project goals,filed,12 03 2007,15 11 2016
2002-95478,Benefits of using the software,noted,26 05 2011,24 10 2022
2010-92359,Detailed description of the product,filed,31 03 2002,30 03 2020
2000-37835,Exciting features of the service,resolved,9 09 2021,24 03 2013
2006-21124,Benefits of using the software,disapproved,28 02 2001,4 10 2005
2015-25296,Detailed description of the product,approved,2 08 2017,1 12 2005
2011-71009,Detailed description of the product,disapproved,22 05 2003,24 08 2002
2010-57300,Description of the project goals,approved,24 09 2022,20 04 2023
2020-77422,Overview of the event,noted,16 01 2002,25 05 2011
2011-15371,Detailed description of the product,filed,14 04 2017,6 02 2010
2002-38339,Overview of the event,disapproved,8 04 2007,12 03 2008
2018-66606,Overview of the event,filed,20 03 2003,17 01 2021
2015-35210,Description of the project goals,approved,15 03 2003,9 11 2021
2011-23400,Benefits of using the software,filed,17 04 2014,23 09 2013
2014-25505,Detailed description of the product,approved,22 08 2012,10 07 2020
2002-12191,Description of the project goals,filed,23 09 2022,5 11 2001
2015-70107,Exciting features of the service,disapproved,4 09 2009,11 01 2014
2012-74575,Description of the project goals,filed,26 12 2020,25 11 2009
2017-20685,Overview of the event,resolved,13 03 2001,3 06 2001
2023-49355,Exciting features of the service,noted,10 06 2010,21 05 2004
2016-83866,Detailed description of the product,resolved,22 10 2023,19 04 2009
2020-23453,Overview of the event,approved,2 04 2008,30 01 2021
2007-87380,Exciting features of the service,noted,17 07 2016,23 08 2011
2006-73093,Detailed description of the product,filed,2 04 2021,6 06 2022
2014-91493,Overview of the event,filed,7 09 2022,30 12 2010
2003-95276,Overview of the event,filed,3 01 2018,2 06 2015
2024-17595,Description of the project goals,resolved,23 01 2023,2 09 2002
2018-51319,Exciting features of the service,disapproved,20 11 2004,4 09 2015
2016-46246,Benefits of using the software,approved,3 04 2002,1 11 2001
2006-88932,Detailed description of the product,disapproved,22 01 2019,27 07 2004
2024-49536,Description of the project goals,resolved,28 04 2011,31 05 2006
2017-12993,Description of the project goals,noted,10 06 2011,25 08 2013
2004-57804,Detailed description of the product,filed,28 10 2001,9 03 2010
2016-79362,Exciting features of the service,disapproved,8 01 2021,2 03 2018
2016-57882,Overview of the event,approved,27 09 2005,30 04 2006
2017-54042,Overview of the event,approved,16 12 2010,19 06 2007
2001-35047,Overview of the event,resolved,13 07 2007,14 03 2022
2002-16697,Description of the project goals,disapproved,2 09 2017,24 10 2011
2012-71312,Overview of the event,approved,4 09 2007,6 01 2002
2014-36585,Detailed description of the product,resolved,4 12 2018,11 02 2017
2013-43774,Exciting features of the service,disapproved,12 12 2008,23 05 2024
2002-14302,Description of the project goals,noted,10 11 2005,21 05 2010
2005-76508,Detailed description of the product,filed,22 07 2002,12 11 2012
2006-78855,Detailed description of the product,noted,26 02 2007,10 04 2012
2006-73182,Benefits of using the software,approved,6 10 2005,14 04 2021
2020-84516,Exciting features of the service,disapproved,21 05 2017,6 12 2019
2019-30855,Overview of the event,resolved,6 06 2012,21 11 2023
2009-26034,Exciting features of the service,approved,10 01 2005,14 08 2011
2012-80306,Benefits of using the software,resolved,28 10 2016,24 12 2019
2004-79707,Exciting features of the service,disapproved,29 10 2016,3 06 2003
2012-54662,Exciting features of the service,resolved,26 06 2021,5 09 2010
2000-58065,Description of the project goals,resolved,19 01 2003,17 01 2018
2012-98754,Detailed description of the product,approved,14 03 2002,19 06 2006
2004-75133,Description of the project goals,filed,1 09 2021,22 02 2017
2002-15704,Detailed description of the product,noted,1 09 2024,15 11 2017
2023-24629,Benefits of using the software,filed,26 03 2022,9 01 2008
2002-21432,Benefits of using the software,noted,23 04 2016,27 05 2024
2024-74556,Benefits of using the software,disapproved,14 08 2019,21 11 2011
2015-67876,Benefits of using the software,disapproved,20 01 2012,19 06 2002
2012-41669,Detailed description of the product,resolved,26 05 2015,29 09 2010
2010-71056,Overview of the event,disapproved,18 09 2017,13 05 2020
2014-29429,Exciting features of the service,approved,16 04 2009,2 11 2020
2008-82400,Exciting features of the service,filed,14 07 2012,30 11 2011
2013-31444,Detailed description of the product,resolved,27 09 2000,30 01 2015
2004-69701,Exciting features of the service,noted,5 12 2006,16 04 2015
2002-44728,Description of the project goals,disapproved,10 12 2023,17 06 2022
2008-13833,Description of the project goals,disapproved,3 04 2006,19 10 2009
2016-85958,Overview of the event,disapproved,3 01 2013,3 03 2022
2018-44545,Benefits of using the software,approved,13 03 2014,8 09 2001
2012-26091,Overview of the event,noted,6 10 2006,20 11 2022
2022-78260,Description of the project goals,noted,6 05 2008,14 03 2019
2019-17415,Overview of the event,approved,21 03 2016,23 01 2004
2018-95352,Detailed description of the product,filed,24 03 2013,18 05 2017
2010-64160,Benefits of using the software,approved,25 01 2001,11 03 2020
2006-59900,Overview of the event,resolved,21 12 2023,30 12 2014
2008-37720,Exciting features of the service,disapproved,4 07 2009,21 02 2000
2022-97393,Benefits of using the software,disapproved,12 03 2020,21 05 2014
2021-36955,Description of the project goals,resolved,25 10 2010,21 01 2014
2012-11998,Detailed description of the product,approved,9 04 2004,10 03 2017
2015-71971,Description of the project goals,approved,14 10 2001,11 12 2017
2013-92869,Description of the project goals,disapproved,13 01 2024,27 04 2019
2024-19014,Detailed description of the product,approved,8 11 2015,16 11 2022
2017-84224,Overview of the event,resolved,2 08 2022,23 05 2012
2016-27462,Overview of the event,resolved,13 02 2021,2 04 2007
2000-61035,Benefits of using the software,filed,9 04 2022,6 09 2020
2018-80805,Exciting features of the service,disapproved,22 08 2016,30 04 2001
2004-63089,Detailed description of the product,approved,22 06 2004,24 08 2010
2020-83486,Overview of the event,resolved,28 12 2004,23 09 2007
2007-12130,Detailed description of the product,filed,11 05 2005,22 04 2015
2010-95446,Benefits of using the software,approved,11 08 2005,26 06 2000
2018-73031,Exciting features of the service,filed,30 10 2011,31 07 2005
2002-62433,Benefits of using the software,filed,15 06 2018,6 07 2013
2007-75417,Exciting features of the service,filed,25 04 2024,24 04 2009
2018-26204,Benefits of using the software,resolved,24 05 2002,22 11 2019
2014-43270,Description of the project goals,disapproved,20 07 2016,31 01 2018
2009-39372,Overview of the event,approved,30 07 2014,18 10 2023
2009-11360,Description of the project goals,resolved,29 07 2011,12 10 2009
2019-65433,Exciting features of the service,noted,12 11 2015,25 12 2000
2004-35516,Detailed description of the product,resolved,29 11 2013,3 07 2014
2005-21748,Overview of the event,disapproved,12 03 2024,25 07 2021
2023-52416,Overview of the event,filed,29 11 2011,14 10 2021
2006-72218,Exciting features of the service,resolved,31 10 2013,26 02 2000
2020-86432,Benefits of using the software,noted,9 08 2006,8 04 2003
2008-58827,Overview of the event,approved,3 04 2018,16 11 2011
2019-11494,Exciting features of the service,noted,18 08 2003,24 06 2020
2022-19449,Description of the project goals,approved,1 03 2022,2 07 2024
2010-67572,Benefits of using the software,resolved,25 02 2019,18 02 2018
2015-99261,Exciting features of the service,filed,14 01 2021,24 05 2009
2013-40043,Description of the project goals,resolved,14 06 2000,22 09 2000
2012-37611,Description of the project goals,disapproved,3 07 2019,6 09 2015
2018-34753,Overview of the event,resolved,14 09 2009,8 12 2020
2024-14442,Benefits of using the software,approved,21 02 2005,14 05 2017
2014-32809,Exciting features of the service,approved,30 10 2000,21 07 2017
2004-82143,Exciting features of the service,approved,5 01 2005,10 11 2017
2002-47394,Overview of the event,noted,10 09 2012,22 08 2006
2024-42122,Overview of the event,approved,12 11 2019,26 05 2008
2002-58426,Detailed description of the product,approved,4 06 2018,30 01 2009
2015-25072,Detailed description of the product,noted,16 10 2008,18 06 2024
2006-61362,Detailed description of the product,approved,25 03 2013,9 10 2011
2003-91916,Exciting features of the service,resolved,25 11 2018,22 11 2004
2001-94603,Overview of the event,filed,25 04 2021,19 07 2017
2000-89838,Overview of the event,noted,2 06 2024,3 09 2014
2005-93727,Exciting features of the service,disapproved,26 04 2003,15 01 2021
2018-88051,Exciting features of the service,noted,22 03 2022,24 11 2016
2009-33131,Exciting features of the service,disapproved,31 12 2016,4 08 2015
2020-22042,Overview of the event,noted,9 03 2019,16 03 2019
2023-13180,Benefits of using the software,disapproved,30 12 2012,24 10 2018
2015-58287,Overview of the event,noted,5 09 2003,16 10 2020
2015-49881,Detailed description of the product,disapproved,24 07 2016,2 07 2005
